nhm_id,time,min,max,mean,median,sum,area
83054,2016-01-01,10.0,15.0,13.254,13.0,1829.0,25.32
83054,2016-02-01,16.0,28.0,21.935,22.0,3027.0,25.32
83054,2016-03-01,11.0,38.0,23.464,24.0,3238.0,25.32
83054,2016-04-01,34.0,70.0,54.37,55.0,7503.0,25.32
83054,2016-05-01,44.0,109.0,86.181,90.0,11893.0,25.32
83054,2016-06-01,37.0,142.0,105.855,116.0,14608.0,25.32
83054,2016-07-01,49.0,135.0,106.609,109.0,14712.0,25.32
83054,2016-08-01,48.0,100.0,84.616,86.5,11677.0,25.32
83054,2016-09-01,40.0,85.0,70.123,73.0,9677.0,25.32
83054,2016-10-01,26.0,47.0,36.065,36.0,4977.0,25.32
83054,2016-11-01,10.0,17.0,12.609,12.0,1740.0,25.32
83054,2016-12-01,18.0,28.0,25.08,26.0,3461.0,25.32
83061,2016-01-01,8.0,17.0,12.652,13.0,582.0,8.44
83061,2016-02-01,12.0,26.0,19.022,19.0,875.0,8.44
83061,2016-03-01,21.0,44.0,35.196,36.0,1619.0,8.44
83061,2016-04-01,38.0,59.0,50.326,50.5,2315.0,8.44
83061,2016-05-01,44.0,100.0,76.304,79.5,3510.0,8.44
83061,2016-06-01,39.0,132.0,107.674,117.0,4953.0,8.44
83061,2016-07-01,27.0,90.0,70.37,74.5,3237.0,8.44
83061,2016-08-01,31.0,72.0,64.043,68.0,2946.0,8.44
83061,2016-09-01,32.0,58.0,48.87,49.5,2248.0,8.44
83061,2016-10-01,20.0,29.0,24.87,25.0,1144.0,8.44
83061,2016-11-01,9.0,12.0,9.783,10.0,450.0,8.44
83061,2016-12-01,15.0,25.0,19.326,19.0,889.0,8.44
83068,2016-01-01,8.0,24.0,16.13,16.0,15001.0,170.632
83068,2016-02-01,12.0,32.0,22.892,23.0,21290.0,170.632
83068,2016-03-01,8.0,57.0,23.753,21.0,22090.0,170.632
83068,2016-04-01,9.0,89.0,30.742,25.0,28590.0,170.632
83068,2016-05-01,18.0,70.0,36.202,36.0,33668.0,170.632
83068,2016-06-01,16.0,99.0,40.378,38.0,37552.0,170.632
83068,2016-07-01,15.0,88.0,46.373,45.0,43127.0,170.632
83068,2016-08-01,29.0,88.0,54.58,54.0,50759.0,170.632
83068,2016-09-01,15.0,70.0,41.123,40.5,38244.0,170.632
83068,2016-10-01,12.0,60.0,29.273,29.0,27224.0,170.632
83068,2016-11-01,7.0,17.0,10.042,10.0,9339.0,170.632
