nhru_v11,nhm_id,model_idx
83028,83029,1
83029,83030,2
83030,83031,3
83031,83032,4
83032,83033,5
83033,83034,6
83034,83035,7
83035,83036,8
83036,83037,9
83037,83038,10
83038,83039,11
83039,83040,12
83040,83041,13
83041,83042,14
83042,83043,15
83043,83044,16
83044,83045,17
83045,83046,18
83046,83047,19
83047,83048,20
83048,83049,21
83049,83050,22
83050,83051,23
83051,83052,24
83052,83053,25
83053,83054,26
83054,83055,27
83055,83056,28
83056,83057,29
83057,83058,30
83058,83059,31
83059,83060,32
83060,83061,33
83061,83062,34
83062,83063,35
83063,83064,36
83064,83065,37
83065,83066,38
83066,83067,39
83067,83068,40
83068,83069,41
83069,83070,42
83070,83071,43
83071,83072,44
83072,83073,45
83073,83074,46
83074,83075,47
83075,83076,48
83076,83077,49
83077,83078,50
83078,83079,51
83079,83080,52
83080,83081,53
83081,83082,54
83082,83083,55
83083,83084,56
83084,83085,57
83085,83086,58
83086,83087,59
83087,83088,60
83088,83089,61
83089,83090,62
83090,83091,63
83091,83092,64
83092,83093,65
83093,83094,66
83094,83095,67
83095,83096,68
83096,83097,69
83097,83098,70
83098,83099,71
83099,83100,72
83100,83101,73
83101,83102,74
83102,83103,75
83103,83104,76
83104,83105,77
83105,83106,78
83106,83107,79
83107,83108,80
83108,83109,81
83109,83110,82
83110,83111,83
83111,83112,84
83112,83113,85
83113,83114,86
83114,83115,87
83115,83116,88
83116,83117,89
83117,83118,90
83118,83119,91
83119,83120,92
83120,83121,93
83121,83122,94
83122,83123,95
83123,83124,96
83124,83125,97
83125,83126,98
83126,83127,99
83127,83128,100
83128,83129,101
83129,83130,102
83130,83131,103
83131,83132,104
83132,83133,105
83133,83134,106
83134,83135,107
83135,83136,108
83136,83137,109
83137,83138,110
83138,83139,111
83139,83140,112
83140,83141,113
83141,83142,114
83142,83143,115
83143,83144,116
83144,83145,117
83145,83146,118
83146,83147,119
83147,83148,120
83148,83149,121
83149,83150,122
83150,83151,123
83151,83152,124
83152,83153,125
83153,83154,126
83154,83155,127
83155,83156,128
83156,83157,129
83157,83158,130
83158,83159,131
83159,83160,132
83160,83161,133
83161,83162,134
83162,83163,135
83163,83164,136
83164,83165,137
83165,83166,138
83166,83167,139
83167,83168,140
83168,83169,141
83169,83170,142
83170,83171,143
83171,83172,144
83172,83173,145
83173,83174,146
83174,83175,147
83175,83176,148
83176,83177,149
83177,83178,150
83178,83179,151
83179,83180,152
83180,83181,153
83181,83182,154
83182,83183,155
83183,83184,156
83184,83185,157
83185,83186,158
83186,83187,159
83187,83188,160
83188,83189,161
83189,83190,162
83190,83191,163
83191,83192,164
83192,83193,165
83193,83194,166
83194,83195,167
83195,83196,168
83196,83197,169
83197,83198,170
83198,83199,171
83199,83200,172
83200,83201,173
83201,83202,174
83202,83203,175
83203,83204,176
83204,83205,177
83205,83206,178
83206,83207,179
83207,83208,180
83208,83209,181
83209,83210,182
83210,83211,183
83211,83212,184
83212,83213,185
83213,83214,186
83214,83215,187
83215,83216,188
83216,83217,189
83217,83218,190
83218,83219,191
83219,83220,192
83220,83221,193
83221,83222,194
83222,83223,195
83223,83224,196
83224,83225,197
83225,83226,198
83226,83227,199
83227,83228,200
83228,83229,201
83229,83230,202
83230,83231,203
83231,83232,204
83232,83233,205
83233,83234,206
83234,83235,207
83235,83236,208
83236,83237,209
83237,83238,210
83238,83239,211
83239,83240,212
83240,83241,213
83241,83242,214
83242,83243,215
83243,83244,216
83244,83245,217
83245,83246,218
83246,83247,219
83247,83248,220
83248,83249,221
83249,83250,222
83250,83251,223
83251,83252,224
83252,83253,225
83253,83254,226
83254,83255,227
83255,83256,228
83256,83257,229
83257,83258,230
83258,83259,231
83259,83260,232
83260,83261,233
83261,83262,234
83262,83263,235
83263,83264,236
83264,83265,237
83265,83266,238
83266,83267,239
83267,83268,240
83268,83269,241
83269,83270,242
83270,83271,243
83271,83272,244
83272,83273,245
83273,83274,246
83274,83275,247
83275,83276,248
83276,83277,249
83277,83278,250
83278,83279,251
83279,83280,252
83280,83281,253
83281,83282,254
83282,83283,255
83283,83284,256
83284,83285,257
83285,83286,258
83286,83287,259
83287,83288,260
83288,83289,261
83289,83290,262
83290,83291,263
83291,83292,264
83292,83293,265
83293,83294,266
83294,83295,267
83295,83296,268
83296,83297,269
83297,83298,270
83298,83299,271
83299,83300,272
83300,83301,273
83301,83302,274
83302,83303,275
83303,83304,276
83304,83305,277
83305,83306,278
83306,83307,279
83307,83308,280
83308,83309,281
83309,83310,282
83310,83311,283
83311,83312,284
83312,83313,285
83313,83314,286
83314,83315,287
83315,83316,288
83316,83317,289
83317,83318,290
83318,83319,291
83319,83320,292
83320,83321,293
83321,83322,294
83322,83323,295
83323,83324,296
83324,83325,297
83325,83326,298
83326,83327,299
83327,83328,300
83328,83329,301
83329,83330,302
83330,83331,303
83331,83332,304
83332,83333,305
83333,83334,306
83334,83335,307
83335,83336,308
83336,83337,309
83337,83338,310
83338,83339,311
83339,83340,312
83340,83341,313
83341,83342,314
83342,83343,315
83343,83344,316
83344,83345,317
83345,83346,318
83346,83347,319
83347,83348,320
83348,83349,321
83349,83350,322
83350,83351,323
83351,83352,324
83352,83353,325
83353,83354,326
83354,83355,327
83355,83356,328
83356,83357,329
83357,83358,330
83358,83359,331
83359,83360,332
83360,83361,333
83361,83362,334
83362,83363,335
83363,83364,336
83364,83365,337
83365,83366,338
83366,83367,339
83367,83368,340
83368,83369,341
83369,83370,342
83370,83371,343
83371,83372,344
83372,83373,345
